,ID,Key,Name,Mascot,Conference,ELO,Record
334,335,STMRY,Saint Mary's,Gaels,West Coast,1057.4739764889166,8 - 1
253,254,STAN,Stanford,Cardinal,Atlantic Coast,1057.34827961388,6 - 1
157,158,YALE,Yale,Bulldogs,Ivy League,1056.6554716147236,7 - 1
97,98,OHIOST,Ohio State,Buckeyes,Big Ten,1052.7930943657652,6 - 1
53,54,STLOU,Saint Louis,Billikens,Atlantic 10,1051.9562192957292,6 - 1
21,22,VIR,Virginia,Cavaliers,Atlantic Coast,1050.8280913571882,6 - 1
250,251,CAH,California,Golden Bears,Atlantic Coast,1050.491501303669,6 - 1
338,339,PACFC,Pacific,Tigers,West Coast,1049.9391227878064,7 - 1
74,75,NCOL,Northern Colorado,Bears,Big Sky,1049.9308064346505,8 - 0
329,330,SALA,South Alabama,Jaguars,Sun Belt,1049.770655716158,7 - 1
20,21,NCAR,North Carolina,Tar Heels,Atlantic Coast,1049.1925022245268,6 - 1
107,108,BAYL,Baylor,Bears,Big 12,1048.8188792322658,5 - 1
177,178,KENTST,Kent State,Golden Flashes,Mid-American,1047.2067307962939,7 - 1
205,206,NIOWA,Northern Iowa,Panthers,Missouri Valley,1046.763746668087,6 - 1
30,31,VTECH,Virginia Tech,Hokies,Atlantic Coast,1046.1952659716167,6 - 2
270,271,FL,Florida,Gators,Southeastern,1046.0979725183226,5 - 2
181,182,MIAOH,Miami (OH),RedHawks,Mid-American,1043.9777934252024,6 - 0
123,124,NCW,UNCW,Seahawks,Coastal Athletic Association,1043.7410995735527,7 - 1
84,85,HPNT,High Point,Panthers,Big South,1042.6702102694485,7 - 1
158,159,COLMB,Columbia,Lions,Ivy League,1042.5921269578682,7 - 1
61,62,GEORGE,Georgetown,Hoyas,Big East,1042.492422510761,5 - 2
113,114,TCU,TCU,Horned Frogs,Big 12,1042.4244378109738,5 - 2
271,272,GA,Georgia,Bulldogs,Southeastern,1042.238823481193,6 - 2
43,44,DAY,Dayton,Flyers,Atlantic 10,1041.8674485529036,6 - 2
167,168,SIENA,Siena,Saints,Metro Atlantic Athletic,1041.3321915132726,7 - 2
4,5,TULSA,Tulsa,Golden Hurricane,American,1041.2185032462687,6 - 1
49,50,RI,Rhode Island,Rams,Atlantic 10,1041.0882887892853,6 - 2
105,106,KAN,Kansas,Jayhawks,Big 12,1040.5963042878657,6 - 2
343,344,NMXST,New Mexico State,Aggies,Conference USA,1039.2562792687936,6 - 0
216,217,COLST,Colorado State,Rams,Mountain West,1039.0855648005893,6 - 2
51,52,RICH,Richmond,Spiders,Atlantic 10,1038.929855634427,6 - 1
58,59,XAV,Xavier,Musketeers,Big East,1038.4860650252285,6 - 2
342,343,LOYMRY,Loyola Marymount,Lions,West Coast,1038.3228341067834,7 - 2
247,248,UTAH,Utah,Utes,Big 12,1038.2875948843248,6 - 2
48,49,DAVID,Davidson,Wildcats,Atlantic 10,1038.2165340910776,6 - 1
100,101,PENNST,Penn State,Nittany Lions,Big Ten,1037.98775142673,7 - 1
47,48,GEOWS,George Washington,Revolutionaries,Atlantic 10,1037.7169116208188,6 - 2
254,255,ARZST,Arizona State,Sun Devils,Big 12,1033.7826224608955,6 - 2
176,177,AKRON,Akron,Zips,Mid-American,1033.548361503196,6 - 2
278,279,AUBRN,Auburn,Tigers,Southeastern,1033.528803115586,6 - 2
106,107,WVIR,West Virginia,Mountaineers,Big 12,1033.4876987042878,6 - 2
218,219,WYOM,Wyoming,Cowboys,Mountain West,1033.1038145003643,6 - 2
213,214,NMX,New Mexico,Lobos,Mountain West,1032.6520841040096,5 - 2
101,102,ILL,Illinois,Fighting Illini,Big Ten,1032.2893815198906,6 - 2
166,167,IONA,Iona,Gaels,Metro Atlantic Athletic,1031.3056679207982,5 - 2
